,r.name,r.id,r.parent_fxf,r.description,r.updatedAt,r.createdAt,r.metadata_updated_at,r.data_updated_at,r.page_views,r.columns_field_name,r.columns_datatype,r.columns_description,r.publication_date,c.domain_tags,c.domain_metadata,permalink
40,Postcodes,m7yp-p495,[],This Shapefile defines the boundaries and locations of all postcodes with the City of Melbourne,2020-02-25T02:19:56.000Z,2014-06-26T06:28:18.000Z,2020-02-25 02:19:56+00:00,,"{'page_views_last_week': 66, 'page_views_last_month': 191, 'page_views_total': 4936, 'page_views_last_week_log': 6.066089190457772, 'page_views_last_month_log': 7.584962500721156, 'page_views_total_log': 12.269418929741098}",[],[],[],2014-06-26 06:28:20+00:00,"['area', 'boundaries', 'location', 'postcode']","[{'key': ""Quality_What's-included"", 'value': 'All data held by the City of Melbourne has been included'}, {'key': 'Quality_Update-frequency', 'value': 'Daily'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Monthly'}]",https://data.melbourne.vic.gov.au/d/m7yp-p495
41,Indicators of quality of life and city services by year,e6er-4cb3,[],"The World Council on City Data (WCCD) awarded the City of Melbourne a platinum designation for its compliance with ISO 37120 (http://www.iso.org/iso/catalogue_detail?csnumber=62436), the world’s first international standard for city indicators. Reporting to the standard allows cities to compare their service delivery and quality of life to other cities globally. The City of Melbourne was one on 20 cities to, globally to help pilot this program and is one of sixteen cities to receive the highest level of accreditation (platinum). 
Having an international standard methodology to measure city performance allows the City of Melbourne to share data about practices in service delivery, learn from other global cities, rank its results relative to those cities, and address common challenges through more informed decision making. 
Indicators include: Fire and emergency response; Governance; Health; Recreation; Safety; Shelter; Solid Waste; Telecommunications and Innovation; Transportation; Urban Planning; Wastewater; Water and Sanitation; Economy; Education; Energy; Environment; and Finance.
City of Melbourne also submitted an application for accreditation, on behalf of ‘Greater Melbourne’, to the World Council on City Data and this resulted in an ‘Aspirational’ accreditation awarded to wider Melbourne. 
A summary of Melbourne's results is available here (http://open.dataforcities.org/). Visit the World Council on City Data’s Open Data Portal to compare our results to other cities from around the world.",2021-04-23T04:37:06.000Z,2015-10-13T22:20:37.000Z,2021-04-23 04:37:06+00:00,2016-02-09 03:54:32+00:00,"{'page_views_last_week': 7, 'page_views_last_month': 35, 'page_views_total': 4897, 'page_views_last_week_log': 3.0, 'page_views_last_month_log': 5.169925001442312, 'page_views_total_log': 12.257977058563979}","['greatermelbournevalue', 'number', 'greatermelbourneunits', 'indicatortheme', 'melbournemunicipalityyear', 'type', 'indicatordescriptor', 'melbournemunicipalityvalue', 'melbournemunicipalityunits', 'indicatorvariable', 'greatermelbourneyyear']","['Text', 'Number', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Number', 'Text', 'Text']","['', '', '', '', '', '', '', '', '', '', '']",2016-02-09 04:01:47+00:00,"['city services', 'indicators', 'liveability', 'measures', 'melbourne', 'performance', 'quality of life', 'stats']","[{'key': ""Quality_What's-included"", 'value': 'These are indicators and in most cases City of Melbourne keeps or has access to more detailed data or underlying unit records and historical data.'}, {'key': 'Quality_Update-frequency', 'value': 'Static (not updated)'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'Quality_Data-quality-statement', 'value': ""This data set has been verified by independent verifiers for accreditation under ISO. Where City of Melbourne didn't have data to report the indicators were left blank.""}, {'key': 'How-to-use_Further-information', 'value': 'http://open.dataforcities.org/'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Annually'}]",https://data.melbourne.vic.gov.au/d/e6er-4cb3
42,Laneways with greening potential,s8dq-xd4g,[],"This dataset includes City of Melbourne’s mapping of greening potential in laneways across the municipality. 'Greening' in this dataset refers to four types of possible greening responses: forest lanes, farm lanes, park lanes and vertical gardens. Higher gridcodes indicate lower potential for adaptation - i.e. a gridcode of 1 is optimal.

This dataset can be used the general public, developers, landscape architects and other interested parties who want to know what the future of green laneways may look like for Melbourne. This dataset can be used as a starting point for greening projects including forest, farm and park lanes as well as vertical gardens

Anyone interested in potential greening within the city should contact the City of Melbourne or visit the Green Infrastructure webpages found on the <a href=""https://www.melbourne.vic.gov.au/community/greening-the-city/green-infrastructure/Pages/green-roofs-walls-facades.aspx/""> City of Melboune website here</a>. The <a href=""https://www.growinggreenguide.org/"">Growing Green Guide</a> is another helpful and comprehensive guide for the building and maintaining green roofs, walls and facades in Melbourne and Victoria.

The Laneways with greening potential dataset is part of a larger suite of work by City of Melbourne to explore and implement contemporary and unique ways of greening in the city that can help combat increased urban density and loss of public open space. Green laneways are an exciting way to liven up the city, and help residents and visitors to explore Melbourne while also combating increasing threats of stormwater runoff, the urban heat island and biodiversity loss.",2020-02-24T02:10:04.000Z,2015-10-16T00:44:24.000Z,2020-02-24 02:10:04+00:00,,"{'page_views_last_week': 3, 'page_views_last_month': 9, 'page_views_total': 4842, 'page_views_last_week_log': 2.0, 'page_views_last_month_log': 3.3219280948873626, 'page_views_total_log': 12.241685287601625}",[],[],[],2015-10-16 00:46:42+00:00,"['climate adaptation', 'green infrastructure', 'greening', 'laneways', '#urbanforest']","[{'key': ""Quality_What's-included"", 'value': 'All data held by the City of Melbourne has been included'}, {'key': 'Quality_Update-frequency', 'value': 'Static (not updated)'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Static (not updated)'}]",https://data.melbourne.vic.gov.au/d/s8dq-xd4g
43,Metro Train Stations with Accessibility Information,mgkp-67ad,[],"This data contains locations of train stations and their accessibility information, such as hearing aid information.",2019-11-19T22:18:02.000Z,2018-02-12T03:47:10.000Z,2019-11-19 22:18:02+00:00,2018-02-12 03:47:12+00:00,"{'page_views_last_week': 23, 'page_views_last_month': 67, 'page_views_total': 4822, 'page_views_last_week_log': 4.584962500721157, 'page_views_last_month_log': 6.08746284125034, 'page_views_total_log': 12.235715094761897}",[],[],[],2018-02-12 03:47:10+00:00,"['accessibility', 'aids', 'hearing', 'innovation', 'pids', 'safemobility', 'stations', 'train', 'transport']","[{'key': ""Quality_What's-included"", 'value': 'Data relating to stations with accessibility information'}, {'key': 'Quality_Update-frequency', 'value': 'Static (not updated)'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'Quality_Data-quality-statement', 'value': 'Data may not be complete'}, {'key': 'How-to-use_Further-information', 'value': 'Data will be availible for duration of Open Innovation Competition only. '}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Static (not updated)'}]",https://data.melbourne.vic.gov.au/d/mgkp-67ad
44,Business establishments per block by CLUE industry,c3gt-hrz6,[],"Data collected as part of the City of Melbourne's Census of Land Use and Employment (CLUE). The data covers the period 2002-19. It shows the number of business establishments per city (CLUE) block, classified by their CLUE industry (from ANZSIC) and small area allocation.

A business establishment is defined as a 
•	Commercial occupant in a building 
•	Separate land use 
•	Any permanent presence of economic activity in accordance with standard Industry classification (ANZSIC).
Hence, if one organisation has its presence in several buildings in the CLUE area, each time it will be counted as a separate establishment. Consequently, the count of establishments presented in CLUE represents the number of locations, rather than 'enterprises'.

For more information about CLUE see http://www.melbourne.vic.gov.au/clue 

For more information about the ANZSIC industry classification system see http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0",2021-03-12T03:32:07.000Z,2016-01-26T21:56:10.000Z,2021-03-12 03:32:07+00:00,2020-09-10 22:53:20+00:00,"{'page_views_last_week': 8, 'page_views_last_month': 24, 'page_views_total': 4726, 'page_views_last_week_log': 3.1699250014423126, 'page_views_last_month_log': 4.643856189774724, 'page_views_total_log': 12.20670914935865}","['other_services', 'transport_postal_and_storage', 'total_establishments_in_block', 'wholesale_trade', 'arts_and_recreation_services', 'business_services', 'construction', 'food_and_beverage_services', 'electricity_gas_water_and_waste_services', 'admin_and_support_services', 'clue_small_area', 'finance_and_insurance', 'health_care_and_social_assistance', 'agriculture_and_mining', 'accommodation', 'block_id', 'rental_and_hiring_services', 'real_estate_services', 'manufacturing', 'information_media_and_telecommunications', 'retail_trade', 'education_and_training', 'public_administration_and_safety', 'census_year']","['Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Text', 'Number', 'Number', 'Number', 'Number', 'Text', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number']","['Other Services includes a broad range of personal services; religious, civic, professional and other interest group services; selected repair and maintenance activities; and private households employing staff.', 'Transport, Postal and Warehousing includes business engaging in passenger transportation, freight and postal by road, rail, water or air. Also the provision of goods warehousing and storage.', 'Total number of establishments in the block.', 'Wholesale Trade engages in the purchase and on-selling to businesses.', 'Arts and Recreation Services includes business engaged in preservation/exhibition of object/sites of historical, cultural or educational interest; production of artistic works and/or live performances/events/exhibits for public viewing; and the operation of facilities that enable patrons to participate in sporting or recreational activities.', 'Business Services provide professional, scientific and technical services where labour inputs are integral to the production or service delivery. These services include scientific research, architecture, engineering, computer systems design, law, accountancy, advertising, market research, management and other consultancy, veterinary science and professional photography.', 'Construction includes business engaged in the construction, repair or maintenance of buildings and other structures.', 'Food service business provide food and beverage services, preparation and serving of meals on and off site.', 'Electricity, Gas, Water and Waste Services comprises business engaged in the provision of electricity; gas through mains systems; water; drainage; and sewage services.', 'Administrative and Support Services includes business engaged in performing routine support activities for the day-to-day operations of other businesses or organisations.', 'CLUE small areas are composed of a group of city blocks, each of which is identified by a unique block number.', 'Financial and Insurance Services engage in financial transactions of financial assets and in facilitating financial transactions.', 'Health Care and Social Assistance includes business providing human health care and social assistance.', 'Agriculture, Forestry and Fishing includes business engaged in growing crops, raising animals, growing and harvesting timber, and harvesting fish and other animals from farms or their natural habitats. Mining includes business that extract naturally occurring mineral solids, such as coal and ores; liquid minerals, such as crude petroleum; and gases, such as natural gas.', 'Accommodation business provides short-term accommodation for visitors.', 'The Census area is divided into city blocks, each of which is identified by a unique block number. Blocks are primarily defined by major roads. There are around 606 blocks in the City of Melbourne.', 'Rental and Hiring Services engage in renting, hiring, or otherwise allowing the use of tangible or intangible assets.', 'Real estate services includes business engaged in providing real estate services such as selling, renting and/or buying real estate for others, managing real estate for others and appraising real estate.', 'Manufacturing includes business mainly engaged in the physical or chemical transformation of materials, substances or components into new products (except agriculture and construction).', 'Health Care and Social Assistance includes business providing human health care and social assistance.', 'Retail Trade engages in the purchase and on-selling to the general public.', 'Education and Training includes organisations in the provision and support of education and training.', 'Public Administration and Safety includes units mainly engaged in Central, State or Local Government legislative, executive and judicial activities.', 'The CLUE census year refers to the year in which surveying was completed.']",2018-09-05 22:28:38+00:00,"['business', 'census of land use and employment', 'cityreactivation', 'clue', 'industry']","[{'key': ""Quality_What's-included"", 'value': 'Full dataset has been included.'}, {'key': 'Quality_Update-frequency', 'value': 'Annually'}, {'key': 'Quality_Data-quality-statement', 'value': 'A team of 4 census officers conduct field interviews which involves visiting every establishment in every building in the Census area (City of Melbourne municipality). Every commercial property is surveyed at least once every two years.'}, {'key': 'How-to-use_Further-information', 'value': 'http://www.melbourne.vic.gov.au/clue'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Annually'}]",https://data.melbourne.vic.gov.au/d/c3gt-hrz6
45,Waste collected per month,gh9v-yqwz,[],"The City of Melbourne provides a number of waste collection services. The dataset details the weight (in tonnes) of waste collected in a number of different categories including residential garbage, hard waste, commingled recycling, cardboard, green waste, litter and dumped rubbish.",2020-06-25T01:57:53.000Z,2016-06-28T06:24:11.000Z,2020-06-25 01:57:37+00:00,2020-06-25 01:57:53+00:00,"{'page_views_last_week': 7, 'page_views_last_month': 37, 'page_views_total': 4489, 'page_views_last_week_log': 3.0, 'page_views_last_month_log': 5.247927513443585, 'page_views_total_log': 12.13249972962851}","['commingled_recycling', 'hardwaste_to_landfill', 'date', 'hardwaste_total', 'hardwaste_recovered', 'street_sweepings', 'month', 'dumped_rubbish', 'green_waste', 'cardboard', 'mattresses', 'public_litter_bins', 'residential']","['Number', 'Number', 'Calendar date', 'Number', 'Number', 'Number', 'Text', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number']","['Amount of commingled recycling collected', 'Amount of hard waste to landfill', 'Month and year of waste collected', 'Total amount of hard waste', 'Amount of hard waste recovered', 'Amount of street sweepings collected', 'Month of data', 'Amount of dumped rubbish collected', 'Amount of green waste collected', 'Amount of cardboard collected', ""The number of mattresses collected. Weight can be calculated on the basis that mattresses on average weigh 25kg's"", 'Amount of public litter bins waste collected', 'Amount of residential waste collected ']",2020-06-02 23:49:29+00:00,"['bins', 'dumped rubbish', 'green waste', 'hard waste', 'recycling', 'rubbish', 'waste']","[{'key': ""Quality_What's-included"", 'value': 'All monthly waste data from April 2009 - March 2020'}, {'key': 'Quality_Update-frequency', 'value': 'Static (not updated)'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Monthly'}]",https://data.melbourne.vic.gov.au/d/gh9v-yqwz
46,Building information 2019,qabw-suvb,['pmhb-s6pn'],"Data collected as part of the City of Melbourne's Census of Land Use and Employment (CLUE). It shows selected building attributes including location, construction year, refurbished year, number of floors above ground, predominant space use, bicycle/shower facilities and building accessibility. Building accessibility data is collected to track accessibility for internal City of Melbourne purposes. This data is provided as a community service by the City of Melbourne. It is not and does not purport to be a complete guide. There may be errors or omissions. Data is liable to change. The City of Melbourne accepts no responsibility in respect of any claim arising from use or reliance upon this data.

For more information about CLUE see http://www.melbourne.vic.gov.au/clue",2020-09-13T23:55:06.000Z,2017-03-19T23:12:10.000Z,2020-09-13 23:55:06+00:00,2020-09-11 00:20:26+00:00,"{'page_views_last_week': 28, 'page_views_last_month': 72, 'page_views_total': 4477, 'page_views_last_week_log': 4.857980995127573, 'page_views_last_month_log': 6.189824558880018, 'page_views_total_log': 12.128638812852598}","['building_height_highest_floor', 'y_coordinate', 'x_coordinate', 'has_showers', 'bicycle_spaces', 'accessibility_rating', 'accessibility_type_description', 'accessibility_type', 'predominant_space_use', 'refurbished_year', 'construction_year', 'suburb', 'street_address', 'building_name', 'base_property_id', 'property_id', 'block_id', 'census_year']","['Number', 'Number', 'Number', 'Text', 'Number', 'Number', 'Text', 'Text', 'Text', 'Number', 'Number', 'Text', 'Text', 'Text', 'Number', 'Number', 'Text', 'Number']","['Total number of floors (counted above ground) of the building', 'The latitude of the building', 'The longitude of the building', 'Building has end point shower facilities available.', 'Total number of bike parking spaces in the building.', '3 = High accessibility, 2 = Moderate accessibility, 1 = Low accessibility, 0 =Not rated', 'Building access Description of accessibility rating of the building.', 'Classification of accessibility rating of the building.', 'Predominant space use of the building', 'Refurbishment year of the building', 'Construction year of the building', 'CLUE small areas are composed of a group of city blocks, each of which is identified by a unique block number.', 'Street Address of the building (Property ID)', 'Name that the building is known by or named.', 'Base Property ID is an individual key use to identify each land parcel which is a space (not a street or road) capable of being the parent property of either a Building Property or an occupancy property, the base is the first tier in the property hierarchy.', 'Property ID is the optional second tier in the property hierarchy, is an individual key use to identify when multiple buildings are located within the boundary of a Base Property ID.', 'The Census area is divided into city blocks, each of which is identified by a unique block number. Blocks are primarily defined by major roads. There are around 606 blocks in the City of Melbourne.', 'The CLUE census year refers to the year in which surveying was completed.']",2020-09-13 23:55:06+00:00,"['accessibility', 'bicycle', 'building', 'census of land use and employment', 'changemaker', 'clue', 'clue2019', 'construction date', 'entrepreneur', 'floors', 'people', 'use']","[{'key': 'Quality_Known-Issues', 'value': 'None'}, {'key': ""Quality_What's-included"", 'value': 'All data held by the City of Melbourne has been included'}, {'key': 'Quality_Update-frequency', 'value': 'Every two years'}, {'key': 'Quality_Data-quality-statement', 'value': 'Building accessibility data is collected to track accessibility for internal City of Melbourne purposes. This data is provided as a community service by the City of Melbourne. It is not and does not purport to be a complete guide. There may be errors or omissions. Data is liable to change. The City of Melbourne accepts no responsibility in respect of any claim arising from use or reliance upon this data.'}, {'key': 'How-to-use_Further-information', 'value': 'http://www.melbourne.vic.gov.au/clue'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Every two years'}]",https://data.melbourne.vic.gov.au/d/qabw-suvb
47,Road corridors,9mdh-8yau,[],"This shapefile shows all of the public road and laneway segments within the City of Melbourne. This outlines the street name and the names of the between streets

For further information on who is the responsible authority for the road can be found in the attached document.",2021-07-31T16:40:25.000Z,2014-06-26T06:31:25.000Z,2021-07-31 16:39:54+00:00,2021-07-31 16:40:25+00:00,"{'page_views_last_week': 21, 'page_views_last_month': 75, 'page_views_total': 4311, 'page_views_last_week_log': 4.459431618637297, 'page_views_last_month_log': 6.247927513443586, 'page_views_total_log': 12.074141462752507}",[],[],[],2015-04-14 04:54:41+00:00,"['laneways', 'roads', 'safemobility', 'segments', 'street names']","[{'key': 'Quality_Update-frequency', 'value': 'Daily'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Weekly'}]",https://data.melbourne.vic.gov.au/d/9mdh-8yau
48,2019 Aerial Imagery,cwpe-ugri,[],"This dataset contains an aerial image mosaic of the City of Melbourne municipal area. This image provies a 'top down' view of the city and is availible for download in a georeferenced format. 

Capture Information
- Capture Date: 2nd/3rd February 2019
- Capture Pixel Size: 5cm
- Map Projection: MGA Zone 55 (MGA55)

Additional technical information:
ArborCarbon collected the aerial image using the ArborCam, a unique 11-band airborne multispectral camera system optimized for the accurate detection of vegetation and subtle changes in vegetation condition. ArborCarbon have created this seamless 5cm pixel resolution RGB mosaic co-registered to the 4-band image.

The multispectral imagery was acquired at 8,000ft above ground level over the City of Melbourne under cloudless conditions between 09:45 and 12:45 on 2nd and 3rd February 2019. Imagery was acquired with the ArborCam system with a ground sample distance (GSD) ranging from 6 cm/pixel to 25 cm/pixel dependent on the band.",2019-12-02T02:03:25.000Z,2019-11-10T23:49:52.000Z,2019-12-02 02:03:25+00:00,2019-11-10 23:49:52+00:00,"{'page_views_last_week': 73, 'page_views_last_month': 428, 'page_views_total': 4095, 'page_views_last_week_log': 6.209453365628951, 'page_views_last_month_log': 8.744833837499545, 'page_views_total_log': 12.0}",[],[],[],2019-11-11 00:01:05+00:00,"['aerial', 'image', 'imagery', 'melbourne', 'property']","[{'key': 'Quality_Known-Issues', 'value': 'None'}, {'key': ""Quality_What's-included"", 'value': 'All imagery for the City of Melbourne boundary'}, {'key': 'Quality_Update-frequency', 'value': 'Static (not updated)'}, {'key': 'Quality_Reliability-level', 'value': 'Reliable and timely'}, {'key': 'How-to-use_Further-information', 'value': 'http://www.arborcarbon.com.au/'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Static (not updated)'}]",https://data.melbourne.vic.gov.au/d/cwpe-ugri
49,"Free and cheap support services, with opening hours, public transport and parking options (Helping Out)",jtcb-iab6,[],"The City of Melbourne's Helping Out booklet provides a list of free and cheap support services available from more than 70 organisations. The list includes food, accommodation, health services, drug and alcohol services, and legal advice.",2020-04-05T21:46:31.000Z,2015-04-28T06:25:04.000Z,2020-04-05 21:46:31+00:00,2015-04-28 06:25:46+00:00,"{'page_views_last_week': 2, 'page_views_last_month': 16, 'page_views_total': 4088, 'page_views_last_week_log': 1.5849625007211563, 'page_views_last_month_log': 4.08746284125034, 'page_views_total_log': 11.997532347526366}","['address_2', 'website', 'category_2', 'category_1', 'public_holidays', 'free_call', 'tuesday', 'twitter', 'social_media', 'saturday', 'sunday', 'nearest_train_station', 'cost', 'tram_routes', 'friday', 'wednesday', 'email', 'name', 'category_5', 'category_6', 'bus_routes', 'phone_2', 'geocoded_location_address', 'geocoded_location_city', 'geocoded_location_state', 'geocoded_location_zip', 'thursday', 'monday', 'category_3', 'phone', 'suburb', 'address_1', 'who', 'category_4', 'longitude', 'what', 'geocoded_location', 'latitude']","['Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Point', 'Text']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2015-04-28 06:31:45+00:00,"['assistance', 'food', 'help', 'homeless', 'services', 'support']","[{'key': ""Quality_What's-included"", 'value': 'All known information has been provided, however, some organisations may not have complete data for all fields'}, {'key': 'Quality_Update-frequency', 'value': 'Static (not updated)'}, {'key': 'Quality_Reliability-level', 'value': 'Reliable and timely'}, {'key': 'Quality_Data-quality-statement', 'value': 'This data has been retrofitted from the original helping out booklet, please feel free to contact us to notify of any data issues'}, {'key': 'How-to-use_Further-information', 'value': 'https://www.melbourne.vic.gov.au/CommunityServices/SocialSupport/Documents/Helping_Out_Booklet.pdf'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Annually'}, {'key': 'Melbourne-Metadata_Further-Information', 'value': 'https://www.melbourne.vic.gov.au/CommunityServices/SocialSupport/Documents/Helping_Out_Booklet.pdf'}]",https://data.melbourne.vic.gov.au/d/jtcb-iab6
50,Indicators of wellbeing by year (Future Melbourne),khvg-gtaq,[],"Future Melbourne Community Plan is the City of Melbourne’s premier planning document. It outlines a plan to grow Melbourne as a global, liveable, and sustainable city. The City of Melbourne accepted responsibility for monitoring the Future Melbourne indicators over the ten years from 2008 and reporting outcomes to Melbourne City Council, the public and City of Melbourne administration. City of Melbourne has commenced a review of the Future Melbourne 2008 plan this year with a view to writing a renewed Future Melbourne 2016-26 plan.

To be able to track Melbourne’s progress according to the aims set out in the Future Melbourne 2008 Plan, City of Melbourne developed and indicators framework including indicators for personal wellbeing and social connection, derived from the Australian Unity wellbeing survey. Australian Unity and the Australian Centre on Quality of Life at Deakin University have conducted national bi-annual population surveys for the last ten years and created an index of perceived wellbeing for the Australian population, including the population of Melbourne. Both organisations support the Index being used and developed as a scientific tool and encourage investigations into the usefulness of the Index by others.

City of Melbourne annually collects data on the personal wellbeing, social connection, self-reported health, volunteering behaviour, food security, acceptance of diverse cultures; engagement in decision making and arts and cultural activities of residents in Melbourne Local Government Area. To achieve this City of Melbourne commissioned a survey of 400 respondents.",2020-02-25T06:50:28.000Z,2016-01-18T04:15:04.000Z,2020-02-25 06:50:28+00:00,2017-05-31 00:33:10+00:00,"{'page_views_last_week': 9, 'page_views_last_month': 21, 'page_views_total': 4010, 'page_views_last_week_log': 3.3219280948873626, 'page_views_last_month_log': 4.459431618637297, 'page_views_total_log': 11.96974625081451}","['_2012', '_2013', 'indicator_description', '_2016', 'indicator_label', 'population', 'unit', 'source', '_2014', '_2015']","['Number', 'Number', 'Text', 'Number', 'Text', 'Text', 'Text', 'Text', 'Number', 'Number']","['', '', '', 'Year data was collected (October)', '', '', '', '', '', '']",2017-05-31 00:35:39+00:00,"['city services', 'community cohesion', 'food', 'health', 'indicators', 'liveability', 'measures', 'performance', 'quality of life', 'safety', 'stats', 'wellbeing']","[{'key': ""Quality_What's-included"", 'value': 'All data held by the City of Melbourne has been included'}, {'key': 'Quality_Update-frequency', 'value': 'Annually'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Annually'}]",https://data.melbourne.vic.gov.au/d/khvg-gtaq
51,Street names,2x56-ai8r,[],This dataset shows all of the streets and laneways within the City of Melbourne. This dataset is used in order for people to create their own map of the city and can be used to label the streets with their names down the centre of the road as is the standard for labelling streets on maps.,2021-07-31T16:42:04.000Z,2015-04-14T04:36:39.000Z,2021-07-31 16:41:51+00:00,2021-07-31 16:42:04+00:00,"{'page_views_last_week': 13, 'page_views_last_month': 62, 'page_views_total': 3809, 'page_views_last_week_log': 3.8073549220576037, 'page_views_last_month_log': 5.977279923499917, 'page_views_total_log': 11.895575282380685}",[],[],[],2015-04-14 04:53:47+00:00,"['accessibility', 'names', 'roads', 'safemobility', 'streets']","[{'key': 'Quality_Update-frequency', 'value': 'Daily'}, {'key': 'Quality_Reliability-level', 'value': 'Reliable and timely'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Weekly'}]",https://data.melbourne.vic.gov.au/d/2x56-ai8r
52,Public barbecues,5nb5-w7hq,[],"This dataset holds the description, type and geographical location of all BBQs in the City of Melbourne",2021-07-31T16:36:09.000Z,2014-04-29T23:09:56.000Z,2021-07-31 16:35:59+00:00,2021-07-31 16:36:09+00:00,"{'page_views_last_week': 4, 'page_views_last_month': 24, 'page_views_total': 3789, 'page_views_last_week_log': 2.321928094887362, 'page_views_last_month_log': 4.643856189774724, 'page_views_total_log': 11.887982133058454}","['descriptio', 'geom', 'geom_address', 'geom_city', 'geom_state', 'geom_zip']","['Text', 'Point', 'Text', 'Text', 'Text', 'Text']","['Description of the place.', 'Co-ordinates of the barbeque place.', '', '', '', '']",2014-05-02 06:46:17+00:00,"['bbq', 'public bbq', 'parks', 'food', 'picnic', 'barbecue', 'eventsplanner']","[{'key': 'Data-management_Source-data-update-frequency', 'value': 'Weekly'}, {'key': 'Quality_Update-frequency', 'value': 'Daily'}, {'key': ""Quality_What's-included"", 'value': 'All data held by the City of Melbourne has been included'}]",https://data.melbourne.vic.gov.au/d/5nb5-w7hq
53,Fire Hydrants,j4qc-4tib,[],This dataset contains all the fire hydrants that are maintained by the City of Melbourne,2021-07-31T16:02:22.000Z,2017-11-23T03:05:21.000Z,2021-07-31 16:01:54+00:00,2021-07-31 16:02:22+00:00,"{'page_views_last_week': 35, 'page_views_last_month': 105, 'page_views_total': 3777, 'page_views_last_week_log': 5.169925001442312, 'page_views_last_month_log': 6.727920454563199, 'page_views_total_log': 11.883406986388371}","['asset_number', 'asset_description', 'maintainer_lupvalue', 'marker_type_lupvalue', 'object_type_lupvalue', 'site_lupvalue', 'street_segment_lupvalue', 'lat', 'lon', 'location', 'location_address', 'location_city', 'location_state', 'location_zip']","['Number', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Number', 'Number', 'Point', 'Text', 'Text', 'Text', 'Text']","['The councils unique id of this asset.', 'Description of the asset.', 'The maintainer of the fire hydrant.', 'Type of marker to indicate the location of the hydrant.', 'Type of fire hydrant.', 'Location of the hydrant. i.e road name.', 'The street segment where the fire hydrant is located', 'The latitude of the fire hydrant.', 'The longitude of the fire hydrant.', 'The latitude and longitude of the fire hydrant.', '', '', '', '']",2018-02-05 04:59:20+00:00,"['fire', 'hydrant', 'accessibility', 'communitysafety', 'assets']","[{'key': 'Data-management_Source-data-update-frequency', 'value': 'Weekly'}, {'key': 'Quality_Update-frequency', 'value': 'Daily'}, {'key': 'Quality_Reliability-level', 'value': 'Reliable and timely'}]",https://data.melbourne.vic.gov.au/d/j4qc-4tib
