,sensor_id,sensor_description,sensor_name,installation_date,status,direction_1,direction_2,latitude,longitude,location,note,db_read_time
30,30,Lonsdale St (South),Lon189_T,2013-10-14T00:00:00.000,A,East,West,-37.81121849,144.96656807,"{'latitude': '-37.81121849', 'longitude': '144.96656807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
31,6,Flinders Street Station Underpass,FliS_T,2009-03-25T00:00:00.000,A,North,South,-37.81911704,144.96558256,"{'latitude': '-37.81911704', 'longitude': '144.96558256', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
32,38,Flinders St-Swanston St (West),Swa11_T,2014-12-05T00:00:00.000,R,,,-37.81723437,144.96715033,"{'latitude': '-37.81723437', 'longitude': '144.96715033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Device has been removed (17/02/2017),2021-08-02 22:22:05.233
33,32,City Square,CSq_T,2013-12-20T00:00:00.000,R,,,-37.81573742,144.96685718,"{'latitude': '-37.81573742', 'longitude': '144.96685718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Device has been removed (24/01/2017),2021-08-02 22:22:05.233
34,4,Town Hall (West),Swa123_T,2009-03-23T00:00:00.000,A,South,North,-37.81487988,144.9660878,"{'latitude': '-37.81487988', 'longitude': '144.9660878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
35,46,Pelham St (South),Pel147_T,2017-07-10T00:00:00.000,A,West,East,-37.80240719,144.96156731,"{'latitude': '-37.80240719', 'longitude': '144.96156731', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
36,56,Lonsdale St - Elizabeth St (North),Lon364_T,2018-07-25T00:00:00.000,A,East,West,-37.81234775,144.96153311,"{'latitude': '-37.81234775', 'longitude': '144.96153311', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
37,42,Grattan St-Swanston St (West),UM1_T,2015-04-15T00:00:00.000,A,South,North,-37.80008565,144.96386412,"{'latitude': '-37.80008565', 'longitude': '144.96386412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
38,5,Princes Bridge,PriNW_T,2009-03-26T00:00:00.000,A,North,South,-37.81874249,144.96787656,"{'latitude': '-37.81874249', 'longitude': '144.96787656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
39,50,Faraday St-Lygon St (West),Lyg309_T,2017-11-30T00:00:00.000,A,North,South,-37.79808191,144.96721014,"{'latitude': '-37.79808191', 'longitude': '144.96721014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
40,52,Elizabeth St-Lonsdale St (South),Eli263_T,2017-07-31T00:00:00.000,A,West,East,-37.81252157,144.9619401,"{'latitude': '-37.81252157', 'longitude': '144.9619401', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
41,2,Bourke Street Mall (South),Bou283_T,2009-03-30T00:00:00.000,A,East,West,-37.81380667,144.96516719,"{'latitude': '-37.81380667', 'longitude': '144.96516719', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
42,1,Bourke Street Mall (North),Bou292_T,2009-03-24T00:00:00.000,A,West,East,-37.8134944,144.96515324,"{'latitude': '-37.8134944', 'longitude': '144.96515324', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
43,59,Building 80 RMIT,RMIT_T,2019-02-13T00:00:00.000,A,North,South,-37.80825648,144.96304859,"{'latitude': '-37.80825648', 'longitude': '144.96304859', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
44,20,Chinatown-Lt Bourke St (South),LtB170_T,2013-09-06T00:00:00.000,A,East,West,-37.81172913,144.9682466,"{'latitude': '-37.81172913', 'longitude': '144.9682466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
45,34,Flinders St-Spark La,Fli32_T,2014-06-08T00:00:00.000,A,East,West,-37.81537985,144.9741505,"{'latitude': '-37.81537985', 'longitude': '144.9741505', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
46,57,Bourke St Bridge,BouBri_T,2018-08-13T00:00:00.000,A,West,East,-37.8176735,144.95025595,"{'latitude': '-37.8176735', 'longitude': '144.95025595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
47,40,Lonsdale St-Spring St (West),Spr201_T,2015-01-19T00:00:00.000,A,South,North,-37.80999341,144.97227588,"{'latitude': '-37.80999341', 'longitude': '144.97227588', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
48,31,Lygon St (West),Lyg161_T,2013-10-10T00:00:00.000,A,South,North,-37.8016968,144.96658911,"{'latitude': '-37.8016968', 'longitude': '144.96658911', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
49,19,Chinatown-Swanston St (North),LtB210_T,2013-09-02T00:00:00.000,A,East,West,-37.81237202,144.96550671,"{'latitude': '-37.81237202', 'longitude': '144.96550671', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
50,37,Lygon St (East),Lyg260_T,2015-02-11T00:00:00.000,A,North,South,-37.80310271,144.96671452,"{'latitude': '-37.80310271', 'longitude': '144.96671452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
51,36,Queen St (West),Que85_T,2015-01-20T00:00:00.000,A,South,North,-37.81652527,144.96121063,"{'latitude': '-37.81652527', 'longitude': '144.96121063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
52,58,Bourke St - Spencer St (North),Bou688_T,2018-09-27T00:00:00.000,A,West,East,-37.81686074,144.95358075,"{'latitude': '-37.81686074', 'longitude': '144.95358075', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
53,8,Webb Bridge,WebBN_T,2009-03-24T00:00:00.000,A,North,South,-37.82293543,144.94717511,"{'latitude': '-37.82293543', 'longitude': '144.94717511', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
54,11,Waterfront City,WatCit_T,2009-01-20T00:00:00.000,A,East,West,-37.81564989,144.93970695,"{'latitude': '-37.81564989', 'longitude': '144.93970695', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
55,18,Collins Place (North),Col12_T,2009-03-30T00:00:00.000,A,East,West,-37.81344861,144.97305354,"{'latitude': '-37.81344861', 'longitude': '144.97305354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
56,49,QVM-Therry St (South),Eli501_T,2017-11-29T00:00:00.000,A,West,East,-37.80730067,144.95956055,"{'latitude': '-37.80730067', 'longitude': '144.95956055', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
57,26,QV Market-Elizabeth St (West),Eli483_T,2013-09-28T00:00:00.000,A,South,North,-37.80869542,144.96049404,"{'latitude': '-37.80869542', 'longitude': '144.96049404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
58,16,Australia on Collins,Col270_T,2009-03-30T00:00:00.000,R,,,-37.81573423,144.96521044,"{'latitude': '-37.81573423', 'longitude': '144.96521044', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Device moved to location ID 53 (22/09/2015),2021-08-02 22:22:05.233
59,22,Flinders St-Elizabeth St (East),Eli274_T,2013-08-12T00:00:00.000,A,South,North,-37.81786445,144.96506823,"{'latitude': '-37.81786445', 'longitude': '144.96506823', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
60,24,Spencer St-Collins St (North),Col620_T,2013-09-02T00:00:00.000,A,East,West,-37.81887962,144.95449198,"{'latitude': '-37.81887962', 'longitude': '144.95449198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
61,27,QV Market-Peel St,Vic_T,2013-08-16T00:00:00.000,A,East,West,-37.80606888,144.95644693,"{'latitude': '-37.80606888', 'longitude': '144.95644693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
62,28,The Arts Centre,VAC_T,2013-08-23T00:00:00.000,A,South,North,-37.82129924,144.96879309,"{'latitude': '-37.82129924', 'longitude': '144.96879309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
63,44,Tin Alley-Swanston St (West),UM3_T,2015-04-15T00:00:00.000,A,South,North,-37.79690473,144.96440378,"{'latitude': '-37.79690473', 'longitude': '144.96440378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
64,48,QVM-Queen St (East),QVMQ_T,2017-10-02T00:00:00.000,A,East,West,-37.80631581,144.95866698,"{'latitude': '-37.80631581', 'longitude': '144.95866698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
65,51,QVM-Franklin St (North),Fra118_T,2017-11-30T00:00:00.000,A,West,East,-37.80841814,144.95906317,"{'latitude': '-37.80841814', 'longitude': '144.95906317', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
66,10,Victoria Point,BouHbr_T,2009-04-23T00:00:00.000,A,West,East,-37.81876473,144.94710545,"{'latitude': '-37.81876473', 'longitude': '144.94710545', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
67,43,Monash Rd-Swanston St (West),UM2_T,2015-04-15T00:00:00.000,A,South,North,-37.79844525,144.96411782,"{'latitude': '-37.79844525', 'longitude': '144.96411782', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
68,73,Bourke St - Spencer St (South),Bou655_T,2020-10-02T00:00:00.000,A,West,East,-37.81695684,144.95415373,"{'latitude': '-37.81695684', 'longitude': '144.95415373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
69,75,Spring St- Flinders st (West),SprFli_T,2020-12-18T00:00:00.000,A,North,South,-37.81515275,144.97467662,"{'latitude': '-37.81515275', 'longitude': '144.97467662', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
70,23,Spencer St-Collins St (South),Col623_T,2013-09-02T00:00:00.000,A,East,West,-37.81909256,144.95452749,"{'latitude': '-37.81909256', 'longitude': '144.95452749', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
71,54,Lincoln-Swanston (West),Swa607_T,2018-06-26T00:00:00.000,A,South,North,-37.804024,144.963084,"{'latitude': '-37.804024', 'longitude': '144.963084', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
72,76,Macaulay Rd- Bellair St,KenMac_T,2021-02-20T00:00:00.000,A,West,East,-37.79453802,144.93036194,"{'latitude': '-37.79453802', 'longitude': '144.93036194', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
73,21,Bourke St-Russell St (West),Rus180_T,2013-09-02T00:00:00.000,A,South,North,-37.81244703,144.96778757,"{'latitude': '-37.81244703', 'longitude': '144.96778757', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
74,78,Harbour Esplanade (West) - Bike Path,HarEsB_T,2021-03-30T00:00:00.000,A,North,South,-37.81471642,144.9446508,"{'latitude': '-37.81471642', 'longitude': '144.9446508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
75,77,Harbour Esplanade (West) - Pedestrian path,HarEsP_T,2021-03-25T00:00:00.000,A,North,South,-37.81441438,144.94433026,"{'latitude': '-37.81441438', 'longitude': '144.94433026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
76,35,Southbank,SouthB_T,2021-04-15T00:00:00.000,A,East,West,-37.82017828,144.96508877,"{'latitude': '-37.82017828', 'longitude': '144.96508877', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",River side,2021-08-02 22:22:05.233
