,pay_stay_zone,street,between_street_1,between_street_2,street_segment_id,db_read_time
27,30001030,CARDIGAN STREET,ARGYLE PLACE SOUTH,PELHAM STREET,20508,2021-08-02 22:24:15.486916
28,30001031,CARDIGAN STREET,PELHAM STREET,ARGYLE PLACE SOUTH,20508,2021-08-02 22:24:15.486916
29,30001031,CARDIGAN STREET,ARGYLE PLACE NORTH,PELHAM STREET,20509,2021-08-02 22:24:15.486916
30,30001033,CARDIGAN STREET,ARGYLE PLACE NORTH,PELHAM STREET,20509,2021-08-02 22:24:15.486916
31,30001034,CARDIGAN STREET,FARADAY STREET,GRATTAN STREET,20514,2021-08-02 22:24:15.486916
32,30001035,CARDIGAN STREET,QUEENSBERRY STREET,VICTORIA STREET,20504,2021-08-02 22:24:15.486916
33,30001036,CARDIGAN STREET,GRATTAN STREET,FARADAY STREET,20514,2021-08-02 22:24:15.486916
34,30001040,CARDIGAN STREET,ARGYLE PLACE SOUTH,QUEENSBERRY STREET,20506,2021-08-02 22:24:15.486916
35,30001041,CARDIGAN STREET,QUEENSBERRY STREET,ARGYLE PLACE SOUTH,20506,2021-08-02 22:24:15.486916
36,30001042,CARDIGAN STREET,VICTORIA STREET,QUEENSBERRY STREET,20504,2021-08-02 22:24:15.486916
37,30001043,CARDIGAN STREET,VICTORIA STREET,QUEENSBERRY STREET,20504,2021-08-02 22:24:15.486916
38,30001044,CEMETERY ROAD EAST,CARDIGAN STREET ,LYGON STREET,15514,2021-08-02 22:24:15.486916
39,30001044,CEMETERY ROAD EAST ,CARDIGAN STREET ,SWANSTON STREET,15500,2021-08-02 22:24:15.486916
40,30001045,FARADAY STREET,SWANSTON STREET,CARDIGAN STREET,20812,2021-08-02 22:24:15.486916
41,30001046,GRATTAN STREET,BOUVERIE STREET,LEICESTER STREET,20848,2021-08-02 22:24:15.486916
42,30001047,GRATTAN STREET,SWANSTON STREET,CARDIGAN STREET,22506,2021-08-02 22:24:15.486916
43,30001048,GRATTAN STREET,CARDIGAN STREET,LYGON STREET,20757,2021-08-02 22:24:15.486916
44,30001049,KAY STREET,CANNING STREET,RATHDOWNE STREET,20573,2021-08-02 22:24:15.486916
45,30001050,LEICESTER STREET,BERKELEY STREET,QUEENSBERRY STREET,20455,2021-08-02 22:24:15.486916
46,30001051,LEICESTER STREET,GRATTAN STREET,PELHAM STREET,20460,2021-08-02 22:24:15.486916
47,30001052,LEICESTER STREET,GRATTAN STREET,PELHAM STREET,20460,2021-08-02 22:24:15.486916
48,30001053,KAY STREET,CANNING STREET,RATHDOWNE STREET,20573,2021-08-02 22:24:15.486916
49,30001054,LEICESTER STREET,GRATTAN STREET,PELHAM STREET,20460,2021-08-02 22:24:15.486916
50,30001055,LEICESTER STREET,PELHAM STREET,QUEENSBERRY STREET,20458,2021-08-02 22:24:15.486916
51,30001056,LEICESTER STREET,PELHAM STREET,QUEENSBERRY STREET,20458,2021-08-02 22:24:15.486916
52,30001057,LEICESTER STREET,PELHAM STREET,QUEENSBERRY STREET,20458,2021-08-02 22:24:15.486916
53,30001058,LEICESTER STREET,PELHAM STREET,QUEENSBERRY STREET,20458,2021-08-02 22:24:15.486916
54,30001059,LINCOLN SQUARE SOUTH,SWANSTON STREET,BOUVERIE STREET,20838,2021-08-02 22:24:15.486916
55,30001060,LINCOLN SQUARE NORTH,SWANSTON STREET,BOUVERIE STREET,20839,2021-08-02 22:24:15.486916
56,30001061,LINCOLN SQUARE NORTH,SWANSTON STREET,BOUVERIE STREET,20839,2021-08-02 22:24:15.486916
57,30001062,LINCOLN SQUARE SOUTH,BOUVERIE STREET,SWANSTON STREET,20838,2021-08-02 22:24:15.486916
58,30001064,LINCOLN SQUARE SOUTH,BOUVERIE STREET,SWANSTON STREET,20838,2021-08-02 22:24:15.486916
59,30001065,LYGON STREET,ARGYLE PLACE NORTH,PELHAM STREET,20528,2021-08-02 22:24:15.486916
60,30001066,LYGON STREET,QUEENSBERRY STREET,ARGYLE PLACE SOUTH,20524,2021-08-02 22:24:15.486916
61,30001067,LYGON STREET ,ARGYLE SQUARE NORTH,ARGYLE SQUARE SOUTH,15511,2021-08-02 22:24:15.486916
62,30001068,LYGON STREET,FARADAY STREET,ELGIN STREET,20534,2021-08-02 22:24:15.486916
63,30001069,LYGON STREET,GRATTAN STREET,FARADAY STREET,20532,2021-08-02 22:24:15.486916
64,30001070,SPRING STREET,COLLINS STREET,FLINDERS LANE,20198,2021-08-02 22:24:15.486916
65,30001071,LYGON STREET,PELHAM STREET,ARGYLE PLACE SOUTH,20526,2021-08-02 22:24:15.486916
66,30001072,LYGON STREET,GRATTAN STREET,ARGYLE PLACE NORTH,20530,2021-08-02 22:24:15.486916
67,30001072,LYGON STREET ,PELHAM STREET,GRATTAN STREET,15512,2021-08-02 22:24:15.486916
68,30001073,LYGON STREET,PALMERSTON STREET,ELGIN STREET,20536,2021-08-02 22:24:15.486916
69,30001074,LYGON STREET,PRINCES STREET,LYTTON STREET,20540,2021-08-02 22:24:15.486916
70,30001075,LYGON STREET ,QUEENSBERRY STREET ,PELHAM STREET,15510,2021-08-02 22:24:15.486916
71,30001076,LYGON STREET,QUEENSBERRY STREET,VICTORIA STREET,20522,2021-08-02 22:24:15.486916
72,30001077,LYTTON STREET,LYGON STREET,CARDIGAN STREET,20771,2021-08-02 22:24:15.486916
73,30001078,MACARTHUR PLACE NORTH,RATHDOWNE STREET,CANNING STREET,20670,2021-08-02 22:24:15.486916
74,30001079,MACARTHUR PLACE SOUTH,CANNING STREET,RATHDOWNE STREET,20671,2021-08-02 22:24:15.486916
75,30001081,NICHOLSON STREET,VICTORIA STREET,CARLTON STREET,22501,2021-08-02 22:24:15.486916
76,30001082,NICHOLSON STREET,CARLTON STREET,VICTORIA STREET,22501,2021-08-02 22:24:15.486916
77,30001083,PELHAM STREET,BARRY STREET,BERKELEY STREET,20477,2021-08-02 22:24:15.486916
78,30001084,PELHAM STREET,BOUVERIE STREET,LEICESTER STREET,20873,2021-08-02 22:24:15.486916
79,30001085,PELHAM STREET,CARDIGAN STREET,SWANSTON STREET,20806,2021-08-02 22:24:15.486916
80,30001086,PELHAM STREET,SWANSTON STREET,CARDIGAN STREET,20806,2021-08-02 22:24:15.486916
81,30001087,PELHAM STREET,CARDIGAN STREET,SWANSTON STREET,20806,2021-08-02 22:24:15.486916
82,30001088,PELHAM STREET,CARDIGAN STREET,SWANSTON STREET,20806,2021-08-02 22:24:15.486916
83,30001089,PELHAM STREET,DRUMMOND STREET,LYGON STREET,21557,2021-08-02 22:24:15.486916
84,30001090,PELHAM STREET,DRUMMOND STREET,RATHDOWNE STREET,21556,2021-08-02 22:24:15.486916
85,30001091,PELHAM STREET,LEICESTER STREET,BARRY STREET,20479,2021-08-02 22:24:15.486916
86,30001092,PELHAM STREET,RATHDOWNE STREET,DRUMMOND STREET,21556,2021-08-02 22:24:15.486916
87,30001093,QUEENSBERRY STREET,BOUVERIE STREET,LEICESTER STREET,20868,2021-08-02 22:24:15.486916
88,30001094,QUEENSBERRY STREET,LYGON STREET,CARDIGAN STREET,22499,2021-08-02 22:24:15.486916
89,30001095,QUEENSBERRY STREET,SWANSTON STREET,CARDIGAN STREET,22500,2021-08-02 22:24:15.486916
90,30001096,QUEENSBERRY STREET,CARDIGAN STREET,SWANSTON STREET,22500,2021-08-02 22:24:15.486916
91,30001097,QUEENSBERRY STREET,LYGON STREET,DRUMMOND STREET,22498,2021-08-02 22:24:15.486916
92,30001098,QUEENSBERRY STREET,DRUMMOND STREET,LYGON STREET,22498,2021-08-02 22:24:15.486916
93,30001099,QUEENSBERRY STREET,BERKELEY STREET,ELIZABETH STREET,20864,2021-08-02 22:24:15.486916
94,30001100,QUEENSBERRY STREET,RATHDOWNE STREET,DRUMMOND STREET,22497,2021-08-02 22:24:15.486916
95,30001101,QUEENSBERRY STREET,LEICESTER STREET,BERKELEY STREET,20471,2021-08-02 22:24:15.486916
96,30001102,QUEENSBERRY STREET,BOUVERIE STREET,LEICESTER STREET,20868,2021-08-02 22:24:15.486916
97,30001103,QUEENSBERRY STREET,LEICESTER STREET,BOUVERIE STREET,20868,2021-08-02 22:24:15.486916
98,30001104,QUEENSBERRY STREET,CARDIGAN STREET,LYGON STREET,22499,2021-08-02 22:24:15.486916
99,30001105,QUEENSBERRY STREET,CARDIGAN STREET,LYGON STREET,22499,2021-08-02 22:24:15.486916
100,30001106,QUEENSBERRY STREET,LYGON STREET,DRUMMOND STREET,22498,2021-08-02 22:24:15.486916
101,30001107,QUEENSBERRY STREET,RATHDOWNE STREET,DRUMMOND STREET,22497,2021-08-02 22:24:15.486916
102,30001108,QUEENSBERRY STREET,DRUMMOND STREET,RATHDOWNE STREET,22497,2021-08-02 22:24:15.486916
103,30001109,QUEENSBERRY STREET,SWANSTON STREET,BOUVERIE STREET,20829,2021-08-02 22:24:15.486916
104,30001110,QUEENSBERRY STREET,BOUVERIE STREET,SWANSTON STREET,20829,2021-08-02 22:24:15.486916
105,30001111,QUEENSBERRY STREET,SWANSTON STREET,CARDIGAN STREET,22500,2021-08-02 22:24:15.486916
106,30001112,RATHDOWNE STREET,PELHAM STREET,GRATTAN STREET,20558,2021-08-02 22:24:15.486916
107,30001113,RATHDOWNE STREET,PELHAM STREET,QUEENSBERRY STREET,20556,2021-08-02 22:24:15.486916
108,30001114,RATHDOWNE STREET,GRATTAN STREET,PELHAM STREET,20558,2021-08-02 22:24:15.486916
109,30001115,RATHDOWNE STREET,VICTORIA STREET,QUEENSBERRY STREET,20554,2021-08-02 22:24:15.486916
110,30001116,RATHDOWNE STREET,QUEENSBERRY STREET,VICTORIA STREET,20554,2021-08-02 22:24:15.486916
111,30001117,SWANSTON STREET,ELGIN STREET,COLLEGE CRESCENT,20494,2021-08-02 22:24:15.486916
112,30001118,SWANSTON STREET,GRATTAN STREET,LINCOLN SQUARE NORTH,20488,2021-08-02 22:24:15.486916
113,30001119,SWANSTON STREET,LINCOLN SQUARE NORTH,GRATTAN STREET,20488,2021-08-02 22:24:15.486916
114,30001120,SWANSTON STREET,LINCOLN SQUARE SOUTH,PELHAM STREET,20485,2021-08-02 22:24:15.486916
115,30001121,SWANSTON STREET,LINCOLN SQUARE SOUTH,QUEENSBERRY STREET,20484,2021-08-02 22:24:15.486916
116,30001122,SWANSTON STREET,QUEENSBERRY STREET,VICTORIA STREET,20482,2021-08-02 22:24:15.486916
117,30001124,VICTORIA STREET,ELIZABETH STREET,BOUVERIE STREET,21625,2021-08-02 22:24:15.486916
118,30001125,VICTORIA STREET,LYGON STREET,CARDIGAN STREET,21605,2021-08-02 22:24:15.486916
119,30001126,VICTORIA STREET,CARDIGAN STREET,LYGON STREET,21605,2021-08-02 22:24:15.486916
120,30001127,VICTORIA STREET,LYGON STREET,DRUMMOND STREET,21603,2021-08-02 22:24:15.486916
121,30001128,VICTORIA STREET,DRUMMOND STREET,RATHDOWNE STREET,21601,2021-08-02 22:24:15.486916
122,30001132,VICTORIA PARADE,NICHOLSON STREET,SPRING STREET,21596,2021-08-02 22:24:15.486916
123,30001133,VICTORIA STREET,RATHDOWNE STREET,DRUMMOND STREET,21601,2021-08-02 22:24:15.486916
124,30001134,VICTORIA STREET,SWANSTON STREET,CARDIGAN STREET,21607,2021-08-02 22:24:15.486916
125,30001135,VICTORIA STREET,SWANSTON STREET,BOUVERIE STREET,21623,2021-08-02 22:24:15.486916
126,30001136,ARGYLE PLACE SOUTH,LYGON STREET,CARDIGAN STREET,20751,2021-08-02 22:24:15.486916
127,30001137,BOWEN CRESCENT,GARTON STREET,PARK STREET,22396,2021-08-02 22:24:15.486916
128,30001138,BOWEN CRESCENT,PARK STREET,GARTON STREET,22396,2021-08-02 22:24:15.486916
129,30001140,CEMETERY ROAD WEST,COLLEGE CRESCENT,ROYAL PARADE,22375,2021-08-02 22:24:15.486916
130,30001141,CEMETERY ROAD,SWANSTON STREET,ROYAL PARADE,22373,2021-08-02 22:24:15.486916
131,30001142,CEMETERY ROAD EAST,COLLEGE CRESCENT,LYGON STREET,20773,2021-08-02 22:24:15.486916
132,30001143,GARTON STREET,MACPHERSON STREET,BOWEN CRESCENT,22511,2021-08-02 22:24:15.486916
133,30001146,LYGON STREET,PRINCES STREET,MACPHERSON STREET,22508,2021-08-02 22:24:15.486916
134,30001147,LYGON STREET ,MACPHERSON STREET,PRINCES STREET,22508,2021-08-02 22:24:15.486916
135,30001148,PARK STREET,ROYAL PARADE,BOWEN CRESCENT,22395,2021-08-02 22:24:15.486916
136,30001149,PRINCES PARK DRIVE,CEMETERY ROAD WEST,MACPHERSON STREET,22512,2021-08-02 22:24:15.486916
137,30001150,ROYAL PARADE,IEVERS STREET,WALKER STREET,22387,2021-08-02 22:24:15.486916
138,30001151,ROYAL PARADE,MACARTHUR ROAD,LEONARD STREET,22434,2021-08-02 22:24:15.486916
139,30001152,ROYAL PARADE,IEVERS STREET,PARK STREET,22393,2021-08-02 22:24:15.486916
140,30001153,ROYAL PARADE,LEONARD STREET,WALKER STREET,22435,2021-08-02 22:24:15.486916
141,30001154,ADDERLEY STREET,LA TROBE STREET,JEFFCOTT STREET,21504,2021-08-02 22:24:15.486916
142,30001156,AQUITANIA WAY,CARAVEL LANE,NEWQUAY PROMENADE,22787,2021-08-02 22:24:15.486916
143,30001157,AQUITANIA WAY,CARAVEL LANE,DOCKLANDS DRIVE,22786,2021-08-02 22:24:15.486916
144,30001158,AUGUSTA AVENUE,PEARL RIVER ROAD,WATTLE ROAD,23275,2021-08-02 22:24:15.486916
145,30001159,AURORA LANE,BOURKE STREET,COLLINS STREET,22822,2021-08-02 22:24:15.486916
146,30001160,AURORA LANE,COLLINS STREET,BOURKE STREET,22822,2021-08-02 22:24:15.486916
147,30001161,AURORA LANE,COLLINS STREET,WURUNDJERI WAY,22899,2021-08-02 22:24:15.486916
148,30001162,AURORA LANE,WURUNDJERI WAY,COLLINS STREET,22899,2021-08-02 22:24:15.486916
149,30001163,BATMANS HILL DRIVE,BOURKE STREET,COLLINS STREET,22802,2021-08-02 22:24:15.486916
150,30001164,BOURKE STREET,HARBOUR ESPLANADE,ENTERPRIZE WAY,22801,2021-08-02 22:24:15.486916
151,30001165,BOURKE STREET,WURUNDJERI WAY,HARBOUR ESPLANADE,22553,2021-08-02 22:24:15.486916
152,30001166,BOURKE STREET,HARBOUR ESPLANADE,ENTERPRIZE WAY,22801,2021-08-02 22:24:15.486916
153,30001167,BOURKE STREET,CUMBERLAND STREET,COLLINS STREET,23293,2021-08-02 22:24:15.486916
154,30001168,BOURKE STREET,ENTERPRIZE WAY,HARBOUR ESPLANADE,22801,2021-08-02 22:24:15.486916
155,30001170,BOURKE STREET,CUMBERLAND STREET,ENTERPRIZE WAY,22913,2021-08-02 22:24:15.486916
156,30001171,BOURKE STREET,HARBOUR ESPLANADE,ENTERPRIZE WAY,22801,2021-08-02 22:24:15.486916
157,30001172,BOURKE STREET,ENTERPRIZE WAY,CUMBERLAND STREET,22913,2021-08-02 22:24:15.486916
158,30001173,BOURKE STREET,HARBOUR ESPLANADE,ENTERPRIZE WAY,22801,2021-08-02 22:24:15.486916
159,30001174,BOURKE STREET,ENTERPRIZE WAY,HARBOUR ESPLANADE,22801,2021-08-02 22:24:15.486916
160,30001176,BOURKE STREET,CUMBERLAND STREET,ENTERPRIZE WAY,22913,2021-08-02 22:24:15.486916
161,30001177,BOURKE STREET,ENTERPRIZE WAY,CUMBERLAND STREET,22913,2021-08-02 22:24:15.486916
162,30001178,BOURKE STREET,CUMBERLAND STREET,ENTERPRIZE WAY,22913,2021-08-02 22:24:15.486916
163,30001179,BOURKE STREET,ENTERPRIZE WAY,CUMBERLAND STREET,22913,2021-08-02 22:24:15.486916
164,30001181,BOURKE STREET,HARBOUR ESPLANADE,WURUNDJERI WAY,22553,2021-08-02 22:24:15.486916
165,30001183,COLLINS STREET,SPENCER STREET,BATMANS HILL DRIVE,22819,2021-08-02 22:24:15.486916
166,30001184,COLLINS STREET,HARBOUR ESPLANADE,NAVIGATION DRIVE,23308,2021-08-02 22:24:15.486916
167,30001185,COLLINS STREET,NAVIGATION DRIVE,MERCHANT STREET,22956,2021-08-02 22:24:15.486916
168,30001186,COLLINS STREET,MERCHANT STREET,SEAFARER LANE,23311,2021-08-02 22:24:15.486916
169,30001187,COLLINS STREET,SEAFARER LANE,MERCHANT STREET,23311,2021-08-02 22:24:15.486916
170,30001188,COLLINS STREET,BATMANS HILL DRIVE,HARBOUR ESPLANADE,22906,2021-08-02 22:24:15.486916
171,30001189,COLLINS STREET,SPENCER STREET,BATMANS HILL DRIVE,22819,2021-08-02 22:24:15.486916
172,30001190,CUMBERLAND STREET,BOURKE STREET,VICTORIA HARBOUR PROMENADE,22914,2021-08-02 22:24:15.486916
173,30001191,DOCKLANDS DRIVE,SAINT MANGOS LANE,WATERFRONT WAY,23252,2021-08-02 22:24:15.486916
174,30001192,DOCKLANDS DRIVE,PEARL RIVER ROAD,WESTERN LINK ROAD,23256,2021-08-02 22:24:15.486916
175,30001193,DOEPEL WAY,DOCKLANDS DRIVE,NEWQUAY PROMENADE,22855,2021-08-02 22:24:15.486916
176,30001194,ENTERPRIZE WAY,BOURKE STREET,WATERFRONT WAY,22898,2021-08-02 22:24:15.486916
177,30001196,FISHPLATE LANE,BATMANS HILL DRIVE,VILLAGE STREET,22942,2021-08-02 22:24:15.486916
178,30001197,GEOGRAPHE STREET,BOURKE STREET,KEERA WAY,23032,2021-08-02 22:24:15.486916
179,30001198,GEOGRAPHE STREET,KEERA WAY,BOURKE STREET,23032,2021-08-02 22:24:15.486916
180,30001199,GEOGRAPHE STREET,BOURKE STREET,KEERA WAY,23032,2021-08-02 22:24:15.486916
181,30001200,GEORGIANA STREET,MCCRAE STREET,COLLINS STREET,22896,2021-08-02 22:24:15.486916
182,30001201,GRATTAN STREET,CARDIGAN STREET,SWANSTON STREET,22506,2021-08-02 22:24:15.486916
183,30001202,HARBOUR ESPLANADE,COLLINS STREET,BOURKE STREET,22448,2021-08-02 22:24:15.486916
184,30001203,HARBOUR ESPLANADE,COLLINS STREET,NORTH WHARF ROAD,22954,2021-08-02 22:24:15.486916
185,30001204,HARBOUR ESPLANADE,NORTH WHARF ROAD,COLLINS STREET,22954,2021-08-02 22:24:15.486916
186,30001205,HARBOUR ESPLANADE,LA TROBE STREET,BOURKE STREET,22452,2021-08-02 22:24:15.486916
187,30001206,FRANKLIN STREET,ELIZABETH STREET,QUEEN STREET,21634,2021-08-02 22:24:15.486916
188,30001207,IMPORT LANE,BOURKE STREET,COLLINS STREET,23062,2021-08-02 22:24:15.486916
189,30001208,KARLSRUHE LANE,COLLINS STREET,KEERA WAY,23246,2021-08-02 22:24:15.486916
190,30001209,LEVEN AVENUE,PEARL RIVER ROAD,WATTLE ROAD,23277,2021-08-02 22:24:15.486916
191,30001211,MCCRAE STREET,WURUNDJERI WAY,BATMANS HILL DRIVE,22862,2021-08-02 22:24:15.486916
192,30001212,MERCHANT STREET,BOURKE STREET,VICTORIA HARBOUR PROMENADE,22915,2021-08-02 22:24:15.486916
193,30001213,MERCHANT STREET,BOURKE STREET,COLLINS STREET,23151,2021-08-02 22:24:15.486916
194,30001214,NAVIGATION DRIVE,BOURKE STREET,COLLINS STREET,23033,2021-08-02 22:24:15.486916
195,30001215,NAVIGATION DRIVE,COLLINS STREET,HARBOUR ESPLANADE,23236,2021-08-02 22:24:15.486916
196,30001216,NAVIGATION DRIVE,COLLINS STREET,BOURKE STREET,23033,2021-08-02 22:24:15.486916
197,30001217,PEARL RIVER ROAD,DOCKLANDS DRIVE,VICTORIA HARBOUR,22908,2021-08-02 22:24:15.486916
198,30001218,PEARL RIVER ROAD,VICTORIA HARBOUR,DOCKLANDS DRIVE,22908,2021-08-02 22:24:15.486916
199,30001219,SIDDELEY STREET,SPENCER STREET,WURUNDJERI WAY,22445,2021-08-02 22:24:15.486916
200,30001220,PEARL RIVER ROAD,FOOTSCRAY ROAD,DOCKLANDS DRIVE,23224,2021-08-02 22:24:15.486916
201,30001221,POINT PARK CRESCENT,LORIMER STREET,SOUTH WHARF DRIVE,22951,2021-08-02 22:24:15.486916
202,30001222,SEAFARER LANE,BOURKE STREET,,23063,2021-08-02 22:24:15.486916
203,30001223,SIDDELEY STREET,SPENCER STREET,WURUNDJERI WAY,22445,2021-08-02 22:24:15.486916
204,30001224,SPENCER STREET,FLINDERS STREET,FLINDERS LANE,20067,2021-08-02 22:24:15.486916
205,30001226,SAINT MANGOS LANE NORTH,DOCKLANDS DRIVE,,23267,2021-08-02 22:24:15.486916
206,30001227,VILLAGE STREET,COLLINS STREET,BOURKE STREET,22941,2021-08-02 22:24:15.486916
207,30001228,VILLAGE STREET,BOURKE STREET,COLLINS STREET,22941,2021-08-02 22:24:15.486916
208,30001229,VILLAGE STREET,MCCRAE STREET,COLLINS STREET,22894,2021-08-02 22:24:15.486916
209,30001230,VILLAGE STREET,COLLINS STREET,MCCRAE STREET,22894,2021-08-02 22:24:15.486916
210,30001231,WATERFRONT WAY,FOOTSCRAY ROAD,DOCKLANDS DRIVE,23225,2021-08-02 22:24:15.486916
211,30001232,WATERFRONT WAY,DOCKLANDS DRIVE,FOOTSCRAY ROAD,23225,2021-08-02 22:24:15.486916
212,30001233,WATTLE ROAD,DOCKLANDS DRIVE,NEWQUAY PROMENADE,23274,2021-08-02 22:24:15.486916
213,30001234,ALBERT STREET,CLARENDON STREET,EADES STREET,20898,2021-08-02 22:24:15.486916
214,30001235,ALBERT STREET,EADES STREET,CLARENDON STREET,20898,2021-08-02 22:24:15.486916
215,30001236,ALBERT STREET,GISBORNE STREET,MORRISON PLACE,22619,2021-08-02 22:24:15.486916
216,30001236,ALBERT STREET,MORRISON PLACE,LANSDOWNE STREET,20891,2021-08-02 22:24:15.486916
217,30001236,ALBERT STREET,EADES STREET,LANSDOWNE STREET,20893,2021-08-02 22:24:15.486916
218,30001237,ALBERT STREET,CLARENDON STREET,EADES STREET,20898,2021-08-02 22:24:15.486916
219,30001238,ALBERT STREET,POWLETT STREET,CLARENDON STREET,21587,2021-08-02 22:24:15.486916
220,30001239,ALBERT STREET,LANSDOWNE STREET,EADES STREET,20893,2021-08-02 22:24:15.486916
221,30001240,LA TROBE STREET,Wurundjeri Way,Harbour Esplanade,22549,2021-08-02 22:24:15.486916
222,30001241,ALBERT STREET,HODDLE STREET,SIMPSON STREET,21573,2021-08-02 22:24:15.486916
223,30001242,ALBERT STREET,SIMPSON STREET,HODDLE STREET,21573,2021-08-02 22:24:15.486916
224,30001244,ALBERT STREET,NICHOLSON STREET,GISBORNE STREET,20889,2021-08-02 22:24:15.486916
225,30001245,ALBERT STREET,SPRING STREET,NICHOLSON STREET,20886,2021-08-02 22:24:15.486916
226,30001245,ALBERT STREET,GISBORNE STREET,NICHOLSON STREET,20889,2021-08-02 22:24:15.486916
227,30001246,ALBERT STREET,POWLETT STREET,SIMPSON STREET,21580,2021-08-02 22:24:15.486916
228,30001247,CATHEDRAL PLACE,LANSDOWNE STREET,GISBORNE STREET,21851,2021-08-02 22:24:15.486916
229,30001248,CATHEDRAL PLACE,GISBORNE STREET,LANSDOWNE STREET,21851,2021-08-02 22:24:15.486916
230,30001249,SPENCER STREET,FLINDERS STREET,SPENCER STREET BRIDGE,22174,2021-08-02 22:24:15.486916
231,30001250,CLARENDON STREET,GIPPS STREET,GREY STREET,22622,2021-08-02 22:24:15.486916
232,30001250,CLARENDON STREET,WELLINGTON PARADE,GEORGE STREET,21937,2021-08-02 22:24:15.486916
233,30001250,CLARENDON STREET,HOTHAM STREET,GEORGE STREET,21932,2021-08-02 22:24:15.486916
234,30001250,CLARENDON STREET,HOTHAM STREET,GIPPS STREET,21902,2021-08-02 22:24:15.486916
235,30001250,CLARENDON STREET,GREY STREET,ALBERT STREET,21860,2021-08-02 22:24:15.486916
236,30001251,EADES STREET,VICTORIA PARADE,ALBERT STREET,20897,2021-08-02 22:24:15.486916
237,30001252,EVELYN PLACE,NICHOLSON STREET,ALBERT STREET,21561,2021-08-02 22:24:15.486916
238,30001253,GISBORNE STREET,CATHEDRAL PLACE,ALBERT STREET,21849,2021-08-02 22:24:15.486916
239,30001254,GISBORNE STREET,VICTORIA PARADE,ALBERT STREET,20895,2021-08-02 22:24:15.486916
240,30001255,GREY STREET,SIMPSON STREET,POWLETT STREET,21866,2021-08-02 22:24:15.486916
241,30001256,LANSDOWNE STREET,ST ANDREWS PLACE,CATHEDRAL PLACE,21857,2021-08-02 22:24:15.486916
